Item Category Code;Tegund;Value
1;Rauðvín;1
2;Hvítvín;1
3;Rósavín;1
4;Freyðivín;1
5;Styrkt vín;1
6;Ávaxtavín;1
10;Brandí;1
11;Ávaxtabrandí;1
13;Viskí;1
14;Romm;1
15;Tequila o.fl.;1
16;Ókryddað brennivín og vodka;1
17;Gin & sénever;1
18;Snafs;1
20;Likjorar;1
21;Bitterar, kryddvín, aperitífar;1
23;Blandaðir drykkir;1
29;Óáfeng vín;1
60;Lagerbjór;1
61;Öl;1
62;Aðrar bjórtegundir;1
79;Óáfeng vín;1
80;Rekstrarvörur;1
81;Iðnaðarvara - neftóbak;1
82;Umbúðir og aðrar söluvörur;1
89;Niðurlagðir ávextir;1
90;Neftóbak;1
91;Reyktóbak;1
92;Vindlingar;1
93;Vindlar;1
94;Munntóbak;1