Item Category Code;Tegund
1;Rauðvín
2;Hvítvín
3;Rósavín
4;Freyðivín
5;Styrkt vín
6;Ávaxtavín
10;Brandí
11;Ávaxtabrandí
13;Viskí
14;Romm
15;Tequila o.fl.
16;Ókryddað brennivín og vodka
17;Gin & sénever
18;Snafs
20;Likjorar
21;Bitterar, kryddvín, aperitífar
23;Blandaðir drykkir
29;Óáfeng vín
60;Lagerbjór
61;Öl
62;Aðrar bjórtegundir
79;Óáfeng vín
80;Rekstrarvörur
81;Iðnaðarvara - neftóbak
82;Umbúðir og aðrar söluvörur
89;Niðurlagðir ávextir
90;Neftóbak
91;Reyktóbak
92;Vindlingar
93;Vindlar
94;Munntóbak